principal_diagnostic,icd_code
Trastornos mentales y del comportamiento debidos al uso de alucinogenos: sindrome amnesico,F166
Trastornos mentales y del comportamiento debidos al uso de alucinogenos: trastorno psicotico residual y de comienzo tardio,F167
Trastornos mentales y del comportamiento debidos al uso de alucinogenos: otros trastornos mentales y del comportamiento,F168
"Trastornos mentales y del comportamiento debidos al uso de alucinogenos: trastorno mental y del comportamiento, no especificado",F169
Trastornos mentales y del comportamiento debidos al uso de tabaco,F17
Trastornos mentales y del comportamiento debidos al uso de tabaco: intoxicacion aguda,F170
Trastornos mentales y del comportamiento debidos al uso de tabaco: uso nocivo,F171
Trastornos mentales y del comportamiento debidos al uso de tabaco: sindrome de dependencia,F172
Trastornos mentales y del comportamiento debidos al uso de tabaco: estado de abstinencia,F173
Trastornos mentales y del comportamiento debidos al uso de tabaco: estado de abstinencia con delirio,F174
Trastornos mentales y del comportamiento debidos al uso de tabaco: trastorno psicotico,F175
Trastornos mentales y del comportamiento debidos al uso de tabaco: sindrome amnesico,F176
Trastornos mentales y del comportamiento debidos al uso de tabaco: trastorno psicotico residual y de comienzo tardio,F177
Trastornos mentales y del comportamiento debidos al uso de tabaco: otros trastornos mentales y del comportamiento,F178
"Trastornos mentales y del comportamiento debidos al uso de tabaco: trastorno mental y del comportamiento, no especificado",F179
Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles,F18
Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: intoxicacion aguda,F180
Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: uso nocivo,F181
Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: sindrome de dependencia,F182
Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: estado de abstinencia,F183
Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: estado de abstinencia con delirio,F184
Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: trastorno psicotico,F185
Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: sindrome amnesico,F186
Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: trastorno psicotico residual y de comienzo tardio,F187
Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: otros trastornos mentales y del comportamiento,F188
"Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: trastorno mental y del comportamiento, no especificado",F189
Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas,F19
Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: intoxicacion aguda,F190
Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: uso nocivo,F191
Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome de dependencia,F192
Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: estado de abstinencia,F193
Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: estado de abstinencia con delirio,F194
Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: trastorno psicotico,F195
Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome amnesico,F196
Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: trastorno psicotico residual y de comienzo tardio,F197
Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: otros trastornos mentales y del comportamiento,F198
"Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: trastorno mental y del comportamiento, no especificado",F199
Esquizofrenia,F20
Esquizofrenia paranoide,F200
Esquizofrenia hebefrénica,F201
Esquizofrenia catatónica,F202
Esquizofrenia indiferenciada,F203
Depresión postesquizofrénica,F204
Esquizofrenia residual,F205
Esquizofrenia simple,F206
Otras esquizofrenias,F208
"Esquizofrenia, no especificada",F209
Trastorno esquizotípico,F21
Trastornos delirantes persistentes,F22
Trastorno delirante,F220
Otros trastornos delirantes persistentes,F228
"Trastorno delirante persistente, no especificado",F229
Trastornos psicóticos agudos y transitorios,F23
"Trastorno psicótico agudo polimorfo, sin síntomas de esquizofrenia",F230
"Trastorno psicótico agudo polimorfo, con síntomas de esquizofrenia",F231
Trastorno psicótico agudo de tipo esquizofrénico,F232
"Otro trastorno psicótico agudo, con predominio de ideas delirantes",F233
Otros trastornos psicóticos agudos y transitorios,F238
"Trastorno psicótico agudo y transitorio, no especificado",F239
Trastorno delirante inducido,F24
Trastornos esquizoafectivos,F25
Trastorno esquizoafectivo de tipo maníaco,F250
Trastorno esquizoafectivo de tipo depresivo,F251
Trastorno esquizoafectivo de tipo mixto,F252
Otros trastornos esquizoafectivos,F258
"Trastorno esquizoafectivo, no especificado",F259
Otros trastornos psicóticos de origen no orgánico,F28
"Psicosis de origen no orgánico, no especificada",F29
Episodio maníaco,F30
Hipomanía,F300
Manía sin síntomas psicóticos,F301
Manía con síntomas psicóticos,F302
Otros episodios maníacos,F308
"Episodio maníaco, no especificado",F309
Trastorno afectivo bipolar,F31
"Trastorno afectivo bipolar, episodio hipomaníaco presente",F310
"Trastorno afectivo bipolar, episodio maníaco presente sin síntomas psicóticos",F311
"Trastorno afectivo bipolar, episodio maníaco presente con síntomas psicóticos",F312
"Trastorno afectivo bipolar, episodio depresivo presente leve o moderado",F313
"Trastorno afectivo bipolar, episodio depresivo grave presente sin síntomas psicóticos",F314
"Trastorno afectivo bipolar, episodio depresivo grave presente con síntomas psicóticos",F315
"Trastorno afectivo bipolar, episodio mixto presente",F316
"Trastorno afectivo bipolar, actualmente en remisión",F317
Otros trastornos afectivos bipolares,F318
"Trastorno afectivo bipolar, no especificado",F319
Episodio depresivo,F32
Episodio depresivo leve,F320
Episodio depresivo moderado,F321
Episodio depresivo grave sin síntomas psicóticos,F322
Episodio depresivo grave con síntomas psicóticos,F323
Otros episodios depresivos,F328
"Episodio depresivo, no especificado",F329
Trastorno depresivo recurrente,F33
"Trastorno depresivo recurrente, episodio leve presente",F330
"Trastorno depresivo recurrente, episodio moderado presente",F331
"Trastorno depresivo recurrente, episodio depresivo grave presente sin síntomas psicóticos",F332
"Trastorno depresivo recurrente, episodio depresivo grave presente, con síntomas psicóticos",F333
Trastorno depresivo recurrente actualmente en remisión,F334
Otros trastornos depresivos recurrentes,F338
"Trastorno depresivo recurrente, no especificado",F339
Trastornos del humor [afectivos] persistentes,F34
Ciclotimia,F340
Distimia,F341
Otros trastornos del humor [afectivos] persistentes,F348
"Trastorno persistente del humor [afectivo], no especificado",F349
Otros trastornos del humor [afectivos],F38
"Otros trastornos del humor [afectivos], aislados",F380
"Otros trastornos del humor [afectivos], recurrentes",F381
"Otros trastornos del humor [afectivos], especificados",F388
"Trastorno del humor [afectivo], no especificado",F39
Trastornos fóbicos de ansiedad,F40
Agorafobia,F400
Fobias sociales,F401
Fobias específicas (aisladas),F402
Otros trastornos fóbicos de ansiedad,F408
"Trastorno fóbico de ansiedad, no especificado",F409
Otros trastornos de ansiedad,F41
Trastorno de pánico [ansiedad paroxística episódica],F410
Trastorno de ansiedad generalizada,F411
Trastorno mixto de ansiedad y depresión,F412
Otros trastornos de ansiedad mixtos,F413
Otros trastornos de ansiedad especificados,F418
"Trastorno de ansiedad, no especificado",F419
Trastorno obsesivo-compulsivo,F42
Predominio de pensamientos o rumiaciones obsesivas,F420
Predominio de actos compulsivos [rituales obsesivos],F421
Actos e ideas obsesivas mixtos,F422
Otros trastornos obsesivo-compulsivos,F428
"Trastorno obsesivo-compulsivo, no especificado",F429
Reacción al estrés grave y trastornos de adaptación,F43
Reacción al estrés agudo,F430
Trastorno de estrés postraumático,F431
Trastornos de adaptación,F432
Otras reacciones al estrés grave,F438
"Reacción al estrés grave, no especificada",F439
Trastornos disociativos [de conversión],F44
Amnesia disociativa,F440
Fuga disociativa,F441
Estupor disociativo,F442
Trastornos de trance y de posesión,F443
Trastornos disociativos del movimiento,F444
Convulsiones disociativas,F445
Anestesia disociativa y pérdida sensorial,F446
Trastornos disociativos mixtos [y de conversión],F447
Otros trastornos disociativos [de conversión],F448
"Trastorno disociativo [de conversión], no especificado",F449
Trastornos somatomorfos,F45
Trastorno de somatización,F450
Trastorno somatomorfo indiferenciado,F451
Trastorno hipocondríaco,F452
Disfunción autonómica somatomorfa,F453
Trastorno de dolor persistente somatomorfo,F454
Otros trastornos somatomorfos,F458
"Trastorno somatomorfo, no especificado",F459
Otros trastornos neuróticos,F48
Neurastenia,F480
Síndrome de despersonalización y desvinculación de la realidad,F481
Otros trastornos neuróticos especificados,F488
"Trastorno neurótico, no especificado",F489
Trastornos de la ingestión de alimentos,F50
Anorexia nerviosa,F500
Anorexia nerviosa atípica,F501
Bulimia nerviosa,F502
Bulimia nerviosa atípica,F503
Hiperfagia asociada con otras alteraciones psicológicas,F504
Vómitos asociados con otras alteraciones psicológicas,F505
Otros trastornos de la ingestión de alimentos,F508
"Trastorno de la ingestión de alimentos, no especificado",F509
Trastornos no orgánicos del sueño,F51
Insomnio no orgánico,F510
Hipersomnio no orgánico,F511
Trastorno no orgánico del ciclo sueño-vigilia,F512
Sonambulismo,F513
Terrores del sueño [terrores nocturnos],F514
Pesadillas,F515
Otros trastornos no orgánicos del sueño,F518
"Trastorno no orgánico del sueño, no especificado",F519
Disfunción sexual no ocasionada por trastorno ni enfermedad orgánicos,F52
Falta o pérdida del deseo sexual,F520
Aversión al sexo y falta de goce sexual,F521
Falla de la respuesta genital,F522
Disfunción orgásmica,F523
Eyaculación precoz,F524
Vaginismo no orgánico,F525
Dispareunia no orgánica,F526
Impulso sexual excesivo,F527
"Otras disfunciones sexuales, no ocasionadas por trastorno ni por enfermedad orgánicos",F528
"Disfunción sexual no ocasionada por trastorno ni por enfermedad orgánicos, no especificada",F529
"Trastornos mentales y del comportamiento asociados con el puerperio, no clasificados en otra parte",F53
"Trastornos mentales y del comportamiento leves, asociados con el puerperio, no clasificados en otra parte",F530
"Trastornos mentales y del comportamiento graves, asociados con el puerperio, no clasificados en otra parte",F531
"Otros trastornos mentales y del comportamiento asociados con el puerperio, no clasificados en otra parte",F538
"Trastorno mental puerperal, no especificado",F539
Factores psicológicos y del comportamiento asociados con trastornos o enfermedades clasificados en otra parte,F54
Abuso de sustancias que no producen dependencia,F55
"Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos, no especificados",F59
Trastornos específicos de la personalidad,F60
Trastorno paranoide de la personalidad,F600
Trastorno esquizoide de la personalidad,F601
Trastorno asocial de la personalidad,F602
Trastorno de la personalidad emocionalmente inestable,F603
Trastorno histriónico de la personalidad,F604
Trastorno anancástico de la personalidad,F605
"Trastorno de la personalidad ansiosa (evasiva, elusiva)",F606
Trastorno de la personalidad dependiente,F607
Otros trastornos específicos de la personalidad,F608
"Trastorno de la personalidad, no especificado",F609
Trastornos mixtos y otros trastornos de la personalidad,F61
"Cambios perdurables de la personalidad, no atribuibles a lesión o a enfermedad cerebral",F62
Cambio perdurable de la personalidad después de una experiencia catastrófica,F620
Cambio perdurable de la personalidad consecutivo a una enfermedad psiquiátrica,F621
Otros cambios perdurables de la personalidad,F628
"Cambio perdurable de la personalidad, no especificado",F629
Trastornos de los hábitos y de los impulsos,F63
Juego patológico,F630
Piromanía,F631
Hurto patológico [cleptomanía],F632
Tricotilomanía,F633
Otros trastornos de los hábitos y de los impulsos,F638
"Trastorno de los hábitos y de los impulsos, no especificado",F639
Trastornos de la identidad de género,F64
Transexualismo,F640
Transvestismo de rol dual,F641
Trastorno de la identidad de género en la niñez,F642
Otros trastornos de la identidad de género,F648
"Trastorno de la identidad de género, no especificado",F649
Trastornos de la preferencia sexual,F65
Fetichismo,F650
Transvestismo fetichista,F651
Exhibicionismo,F652
Voyeurismo,F653
Pedofilia,F654
Sadomasoquismo,F655
Trastornos múltiples de la preferencia sexual,F656
Otros trastornos de la preferencia sexual,F658
"Trastorno de la preferencia sexual, no especificado",F659
Trastornos psicológicos y del comportamiento asociados con el desarrollo y con la orientación sexuales,F66
Trastorno de la maduración sexual,F660
Orientación sexual egodistónica,F661
Trastorno de la relación sexual,F662
Otros trastornos del desarrollo psicosexual,F668
"Trastorno del desarrollo psicosexual, no especificado",F669
Otros trastornos de la personalidad y del comportamiento en adultos,F68
Elaboración de síntomas físicos por causas psicológicas,F680
"Producción intencional o simulación de síntomas o de incapacidades, tanto físicas como psicológicas [trastorno facticio]",F681
Otros trastornos especificados de la personalidad y del comportamiento en adultos,F688
"Trastorno de la personalidad y del comportamiento en adultos, no especificado",F69
Retraso mental leve,F70
Retraso mental leve: deterioro del comportamiento nulo o minimo,F700
"Retraso mental leve: deterioro del comportamiento significativo, que requiere atencion o tratamiento",F701
Retraso mental leve: otros deterioros del comportamiento,F708
Retraso mental leve: deterioro del comportamiento de grado no especificado,F709
Retraso mental moderado,F71
Retraso mental moderado: deterioro del comportamiento nulo o minimo,F710
"Retraso mental moderado: deterioro del comportamiento significativo, que requiere atencion o tratamiento",F711
Retraso mental moderado: otros deterioros del comportamiento,F718
Retraso mental moderado: deterioro del comportamiento de grado no especificado,F719
Retraso mental grave,F72
Retraso mental grave: deterioro del comportamiento nulo o minimo,F720
"Retraso mental grave: deterioro del comportamiento significativo, que requiere atencion o tratamiento",F721
Retraso mental grave: otros deterioros del comportamiento,F728
Retraso mental grave: deterioro del comportamiento de grado no especificado,F729
Retraso mental profundo,F73
Retraso mental profundo: deterioro del comportamiento nulo o minimo,F730
"Retraso mental profundo: deterioro del comportamiento significativo, que requiere atencion o tratamiento",F731
Retraso mental profundo: otros deterioros del comportamiento,F738
Retraso mental profundo: deterioro del comportamiento de grado no especificado,F739
Otros tipos de retraso mental,F78
Otros tipos de retraso mental profundo: deterioro del comportamiento nulo o minimo,F780
"Otros tipos de retraso mental profundo: deterioro del comportamiento significativo, que requiere atencion o tratamiento",F781
Otros tipos de retraso mental profundo: otros deterioros del comportamiento,F788
Otros tipos de retraso mental profundo: deterioro del comportamiento de grado no especificado,F789
"Retraso mental, no especificado",F79
"Retraso mental, no especificado: deterioro del comportamiento nulo o minimo",F790
"Retraso mental, no especificado: deterioro del comportamiento significativo, que requiere atencion o tratamiento",F791
"Retraso mental, no especificado: otros deterioros del comportamiento",F798
"Retraso mental, no especificado: deterioro del comportamiento de grado no especificado",F799
Trastornos específicos del desarrollo del habla y del lenguaje,F80
Trastorno específico de la pronunciación,F800
Trastorno del lenguaje expresivo,F801
Trastorno de la recepción del lenguaje,F802
Afasia adquirida con epilepsia [Landau-Kleffner],F803
Otros trastornos del desarrollo del habla y del lenguaje,F808
Trastorno del desarrollo del habla y del lenguaje no especificado,F809
Trastornos específicos del desarrollo de las habilidades escolares,F81
Trastorno específico de la lectura,F810
Trastorno específico del deletreo [ortografía],F811
Trastorno específico de las habilidades aritméticas,F812
Trastorno mixto de las habilidades escolares,F813
Otros trastornos del desarrollo de las habilidades escolares,F818
"Trastorno del desarrollo de las habilidades escolares, no especificado",F819
Trastorno específico del desarrollo de la función motriz,F82
Trastornos específicos mixtos del desarrollo,F83
Trastornos generalizados del desarrollo,F84
Autismo en la niñez,F840
Autismo atípico,F841
Síndrome de Rett,F842
Otro trastorno desintegrativo de la niñez,F843
Trastorno hiperactivo asociado con retraso mental y movimientos estereotipados,F844
Síndrome de Asperger,F845
Otros trastornos generalizados del desarrollo,F848
Trastorno generalizado del desarrollo no especificado,F849
Otros trastornos del desarrollo psicológico,F88
"Trastorno del desarrollo psicológico, no especificado",F89
Trastornos hipercinéticos,F90
Perturbación de la actividad y de la atención,F900
Trastorno hipercinético de la conducta,F901
Otros trastornos hipercinéticos,F908
"Trastorno hipercinético, no especificado",F909
Trastornos de la conducta,F91
Trastorno de la conducta limitado al contexto familiar,F910
Trastorno de la conducta insociable,F911
Trastorno de la conducta sociable,F912
Trastorno opositor desafiante,F913
Otros trastornos de la conducta,F918
"Trastorno de la conducta, no especificado",F919
Trastornos mixtos de la conducta y de las emociones,F92
Trastorno depresivo de la conducta,F920
Otros trastornos mixtos de la conducta y de las emociones,F928
"Trastorno mixto de la conducta y de las emociones, no especificado",F929
Trastornos emocionales de comienzo específico en la niñez,F93
Trastorno de ansiedad de separación en la niñez,F930
Trastorno de ansiedad fóbica en la niñez,F931
Trastorno de ansiedad social en la niñez,F932
Trastorno de rivalidad entre hermanos,F933
Otros trastornos emocionales en la niñez,F938
"Trastorno emocional en la niñez, no especificado",F939
Trastornos del comportamiento social de comienzo específico en la niñez y en la adolescencia,F94
Mutismo electivo,F940
Trastorno de vinculación reactiva en la niñez,F941
Trastorno de vinculación desinhibida en la niñez,F942
Otros trastornos del comportamiento social en la niñez,F948
"Trastorno del comportamiento social en la niñez, no especificado",F949
Trastornos por tics,F95
Trastorno por tic transitorio,F950
Trastorno por tic motor o vocal crónico,F951
Trastorno por tics motores y vocales múltiples combinados [de la Tourette],F952
Otros trastornos por tics,F958
"Trastorno por tic, no especificado",F959
Otros trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia,F98
Enuresis no orgánica,F980
Encopresis no orgánica,F981
Trastorno de la ingestión alimentaria en la infancia y la niñez,F982
Pica en la infancia y la niñez,F983
Trastornos de los movimientos estereotipados,F984
Tartamudez [espasmofemia],F985
Farfulleo,F986
Otros trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia,F988
"Trastornos no especificados, emocionales y del comportamiento, que aparecen habitualmente en la niñez y en la adolescencia",F989
"Trastorno mental, no especificado",F99
"Meningitis bacteriana, no clasificada en otra parte",G00
Meningitis por hemófilos,G000
Meningitis neumocócica,G001
Meningitis estreptocócica,G002
Meningitis estafilocócica,G003
Otras meningitis bacterianas,G008
"Meningitis bacteriana, no especificada",G009
Meningitis en enfermedades bacterianas clasificadas en otra parte,G01
Meningitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte,G02
Meningitis en enfermedades virales clasificadas en otra parte,G020
Meningitis en micosis,G021
Meningitis en otras enfermedades infecciosas y parasitarias especificadas clasificadas en otra parte,G028
Meningitis debida a otras causas y a las no especificadas,G03
Meningitis apiógena,G030
Meningitis crónica,G031
Meningitis recurrente benigna [Mollaret],G032
Meningitis debidas a otras causas especificadas,G038
"Meningitis, no especificada",G039
"Encefalitis, mielitis y encefalomielitis",G04
Encefalitis aguda diseminada,G040
Paraplejía espástica tropical,G041
"Meningoencefalitis y meningomielitis bacterianas, no clasificadas en otra parte",G042
"Otras encefalitis, mielitis y encefalomielitis",G048
"Encefalitis, mielitis y encefalomielitis, no especificadas",G049
"Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas en otra parte",G05
"Encefalitis, mielitis y encefalomielitis en enfermedades bacterianas clasificadas en otra parte",G050
"Encefalitis, mielitis y encefalomielitis en enfermedades virales clasificadas en otra parte",G051
"Encefalitis, mielitis y encefalomielitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte",G052
"Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas en otra parte",G058
Absceso y granuloma intracraneal e intrarraquídeo,G06
Absceso y granuloma intracraneal,G060
Absceso y granuloma intrarraquídeo,G061
"Absceso extradural y subdural, no especificado",G062
Absceso y granuloma intracraneal e intrarraquídeo en enfermedades clasificadas en otra parte,G07
Flebitis y tromboflebitis intracraneal e intrarraquídea,G08
Secuelas de enfermedades inflamatorias del sistema nervioso central,G09
Enfermedad de Huntington,G10
Ataxia hereditaria,G11
Ataxia congénita no progresiva,G110
Ataxia cerebelosa de iniciación temprana,G111
Ataxia cerebelosa de iniciación tardía,G112
Ataxia cerebelosa con reparación defectuosa del ADN,G113
Paraplejía espástica hereditaria,G114
Otras ataxias hereditarias,G118
"Ataxia hereditaria, no especificada",G119
Atrofia muscular espinal y síndromes afines,G12
"Atrofia muscular espinal infantil, tipo I [Werdnig–Hoffman]",G120
Otras atrofias musculares espinales hereditarias,G121
Enfermedades de las neuronas motoras,G122
Otras atrofias musculares espinales y sindromes afines,G128
"Atrofia muscular espinal, sin otra especificación",G129
Atrofias sistémicas que afectan primariamente el sistema nervioso central en enfermedades clasificadas en otra parte,G13
Neuromiopatía y neuropatía paraneoplásica,G130
Otras atrofias sistémicas que afectan el sistema nervioso central en enfermedad neoplásica,G131
"Atrofia sistémica que afecta primariamente el sistema nervioso central en el mixedema (E00.1, E03.–)",G132
Atrofia sistémica que afecta primariamente el sistema nervioso central en otras enfermedades clasificadas en otra parte,G138
Enfermedad de Parkinson,G20
Parkinsonismo secundario,G21
Síndrome neuroléptico maligno,G210
Otro parkinsonismo secundario inducido por drogas,G211
Parkinsonismo secundario debido a otros agentes externos,G212
Parkinsonismo postencefalítico,G213
Otros tipos de parkinsonismo secundario,G218
"Parkinsonismo secundario, no especificado",G219
Parkinsonismo en enfermedades clasificadas en otra parte,G22
Otras enfermedades degenerativas de los núcleos de la base,G23
Enfermedad de Hallervorden–Spatz,G230
Oftalmoplejia supranuclear progresiva [Steele-Richardson- Olszewski],G231
Degeneración nigroestriada,G232
Otras enfermedades degenerativas específicas de los núcleos de la base,G238
"Enfermedad degenerativa de los núcleos de la base, no especificada",G239
Distonía,G24
Distonía inducida por drogas,G240
Distonía idiopática familiar,G241
Distonía idiopática no familiar,G242
Tortícolis espasmódica,G243
Distonía bucofacial idiopática,G244
Blefarospasmo,G245
Otras distonías,G248
"Distonía, no especificada",G249
Otros trastornos extrapiramidales y del movimiento,G25
Temblor esencial,G250
Temblor inducido por drogas,G251
Otras formas especificadas de temblor,G252
Mioclonía,G253
Corea inducida por drogas,G254
Otras coreas,G255
Tics inducidos por drogas y otros tics de origen orgánico,G256
Otros trastornos extrapiramidales y del movimiento,G258
"Trastorno extrapiramidal y del movimiento, no especificado",G259
Trastornos extrapiramidales y del movimiento en enfermedades clasificadas en otra parte,G26
Enfermedad de Alzheimer,G30
Enfermedad de Alzheimer de comienzo temprano,G300
Enfermedad de Alzheimer de comienzo tardío,G301
Otros tipos de enfermedad de Alzheimer,G308
"Enfermedad de Alzheimer, no especificada",G309
"Otras enfermedades degenerativas del sistema nervioso, no clasificadas en otra parte",G31
Atrofia cerebral circunscrita,G310
Degeneración cerebral senil no clasificada en otra parte,G311
Degeneración del sistema nervioso debida al alcohol,G312
Otras enfermedades degenerativas especificadas del sistema nervioso,G318
"Degeneración del sistema nervioso, no especificada",G319
Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas en otra parte,G32
Degeneración combinada subaguda de la médula espinal en enfermedades clasificadas en otra parte,G320
Otros trastornos degenerativos especificados del sistema nervioso en enfermedades clasificadas en otra parte,G328
Esclerosis múltiple,G35
Otras desmielinizaciones diseminadas agudas,G36
Neuromielitis óptica [Devic],G360
Leucoencefalitis hemorrágica aguda y subaguda [Hurst],G361
Otras desmielinizaciones agudas diseminadas especificadas,G368
"Desmielinización diseminada aguda, sin otra especificación",G369
Otras enfermedades desmielinizantes del sistema nervioso central,G37
Esclerosis difusa,G370
Desmielinización central del cuerpo calloso,G371
Mielinólisis central pontina,G372
Mielitis transversa aguda en enfermedad desmielinizante del sistema nervioso central,G373
Mielitis necrotizante subaguda,G374
Esclerosis concéntrica [Baló],G375
"Otras enfermedades desmielinizantes del sistema nervioso central, especificadas",G378
"Enfermedad desmielinizante del sistema nervioso central, no especificada",G379
Epilepsia,G40
Epilepsia y síndromes epilépticos idiopáticos relacionados con localizaciones (focales) (parciales) y con ataques de inicio localizado,G400
Epilepsia y síndromes epilépticos sintomáticos relacionados con localizaciones (focales) (parciales) y con ataques parciales simples,G401
Epilepsia y síndromes epilépticos sintomáticos relacionados con localizaciones (focales) (parciales) y con ataques parciales complejos,G402
Epilepsia y síndromes epilépticos idiopáticos generalizados,G403
Otras epilepsias y síndromes epilépticos generalizados,G404
Síndromes epilépticos especiales,G405
"Ataques de gran mal, no especificados (con o sin pequeño mal)",G406
"Pequeño mal, no especificado (sin ataque de gran mal)",G407
Otras epilepsias,G408
"Epilepsia, tipo no especificado",G409
Estado de mal epiléptico,G41
Estado de gran mal epiléptico,G410
Estado de pequeño mal epiléptico,G411
Estado de mal epiléptico parcial complejo,G412
Otros estados epilépticos,G418
Estado de mal epiléptico de tipo no especificado,G419
Migraña,G43
Migraña sin aura [migraña común],G430
Migraña con aura [migraña clásica],G431
Estado migrañoso,G432
Migraña complicada,G433
Otras migrañas,G438
"Migraña, no especificada",G439
Otros síndromes de cefalea,G44
Síndrome de cefalea en racimos,G440
"Cefalea vascular, NCOP",G441
Cefalea debida a tensión,G442
Cefalea postraumática crónica,G443
"Cefalea inducida por drogas, no clasificada en otra parte",G444
Otros síndromes de cefalea especificados,G448
Ataques de isquemia cerebral transitoria y síndromes afines,G45
Síndrome arterial vértebro-basilar,G450
Síndrome de la arteria carótida (hemisférico),G451
Síndromes arteriales precerebrales bilaterales y múltiples,G452
Amaurosis fugaz,G453
Amnesia global transitoria,G454
Otras isquemias cerebrales transitorias y síndromes afines,G458
"Isquemia cerebral transitoria, sin otra especificación",G459
Síndromes vasculares encefálicos en enfermedades cerebrovasculares (I60–I67),G46
Síndrome de la arteria cerebral media (I66.0),G460
Síndrome de la arteria cerebral anterior (I66.1),G461
Síndrome de la arteria cerebral posterior (I66.2),G462
Síndromes apopléticos del tallo encefálico (I60–I67),G463
Síndrome de infarto cerebeloso (I60–I67),G464
Síndrome lacunar motor puro (I60–I67),G465
Síndrome lacunar sensorial puro (I60–I67),G466
Otros síndromes lacunares (I60–I67),G467
Otros síndromes vasculares encefálicos en enfermedades cerebrovasculares (I60–I67),G468
Trastornos del sueño,G47
Trastornos del inicio y del mantenimiento del sueño [insomnios],G470
Trastornos de somnolencia excesiva [hipersomnios],G471
Trastornos del ritmo nictameral,G472
Apnea del sueño,G473
Narcolepsia y cataplexia,G474
Otros trastornos del sueño,G478
"Trastorno del sueño, no especificado",G479
Trastornos del nervio trigémino,G50
Neuralgia del trigémino,G500
Dolor facial atípico,G501
Otros trastornos del trigémino,G508
"Trastorno del trigémino, no especificado",G509
Trastornos del nervio facial,G51
Parálisis de Bell,G510
Ganglionitis geniculada,G511
Síndrome de Melkersson,G512
Espasmo hemifacial clónico,G513
Mioquimia facial,G514
Otros trastornos del nervio facial,G518
"Trastorno del nervio facial, no especificado",G519
Trastornos de otros nervios craneales,G52
Trastornos del nervio olfatorio,G520
Trastornos del nervio glosofaríngeo,G521
Trastornos del nervio vago,G522
Trastornos del nervio hipogloso,G523
Trastornos de múltiples nervios craneales,G527
Trastornos de otros nervios craneales especificados,G528
"Trastorno de nervio craneal, no especificado",G529
Trastornos de los nervios craneales en enfermedades clasificadas en otra parte,G53
Neuralgia postherpes zoster (B02.2),G530
Parálisis múltiple de los nervios craneales en enfermedades infecciosas y parasitarias clasificadas en otra parte (A00–B99),G531
"Parálisis múltiple de los nervios craneales, en la sarcoidosis (D86.8)",G532
"Parálisis múltiple de los nervios craneales, en enfermedades neoplásicas (C00–D48)",G533
Otros trastornos de los nervios craneales en otras enfermedades clasificadas en otra parte,G538
Trastornos de las raíces y de los plexos nerviosos,G54
Trastornos del plexo braquial,G540
Trastornos del plexo lumbosacro,G541
"Trastornos de la raíz cervical, no clasificados en otra parte",G542
"Trastornos de la raíz torácica, no clasificados en otra parte",G543
"Trastornos de la raíz lumbosacra, no clasificados en otra parte",G544
Amiotrofia neurálgica,G545
Síndrome del miembro fantasma con dolor,G546
Síndrome del miembro fantasma sin dolor,G547
Otros trastornos de las raíces y plexos nerviosos,G548
"Trastorno de la raíz y plexos nerviosos, no especificado",G549
Compresiones de las raíces y de los plexos nerviosos en enfermedades clasificadas en otra parte,G55
Compresiones de las raíces y plexos nerviosos en enfermedades neoplásicas (C00–D48),G550
Compresiones de las raíces y plexos nerviosos en trastornos de los discos intervertebrales (M50–M51),G551
